request_id,service_name,endpoint,method,response_time_ms,status_code,user_role,region,payload_size_kb,timestamp
10000,ServiceNow,/orders,GET,141,404,analyst,eu-central-1,331,2026-07-04 14:49:57.725001
10001,Workday,/transactions,POST,1352,401,developer,us-west-2,294,2026-06-30 08:02:57.725321
10002,SAP,/users,DELETE,1357,200,developer,us-east-1,236,2026-07-13 21:31:57.725468
10003,ServiceNow,/payments,DELETE,719,200,viewer,eu-central-1,190,2026-06-26 12:04:57.727915
10004,Workday,/customers,DELETE,1174,200,admin,eu-central-1,135,2026-07-02 07:26:57.728051
10005,Slack,/customers,GET,335,200,developer,us-west-2,265,2026-06-24 05:44:57.728194
10006,Workday,/customers,PUT,975,200,analyst,us-east-1,264,2026-06-28 23:47:57.728332
10007,Salesforce,/customers,POST,1431,200,developer,us-west-2,390,2026-06-14 08:30:57.728456
10008,Stripe,/orders,PUT,421,200,developer,us-west-2,202,2026-06-15 07:51:57.728602
10009,Stripe,/customers,GET,315,403,admin,us-east-1,338,2026-06-27 03:27:57.728722
10010,Slack,/users,DELETE,207,400,viewer,us-east-1,41,2026-07-03 14:22:57.728841
10011,Salesforce,/users,PUT,540,400,viewer,us-east-1,492,2026-06-19 04:00:57.729032
10012,ServiceNow,/transactions,GET,411,200,analyst,eu-central-1,289,2026-07-13 17:09:57.729166
10013,Slack,/users,DELETE,154,200,admin,us-west-2,33,2026-07-06 18:58:57.729287
10014,Stripe,/orders,PUT,703,200,viewer,us-west-2,475,2026-06-29 04:45:57.729411
10015,SAP,/reports,PUT,1048,200,developer,eu-central-1,255,2026-06-16 01:14:57.731606
10016,Salesforce,/payments,POST,911,200,admin,eu-central-1,63,2026-06-14 00:31:57.731749
10017,Workday,/reports,GET,1450,200,analyst,us-east-1,143,2026-06-16 18:01:57.731887
10018,ServiceNow,/transactions,POST,597,404,developer,us-east-1,62,2026-06-22 02:17:57.732019
10019,Workday,/customers,DELETE,1383,200,developer,us-west-2,331,2026-06-11 12:04:57.732145
10020,Workday,/users,PUT,209,400,admin,us-east-1,377,2026-07-03 01:17:57.732277
10021,Workday,/orders,GET,1302,200,analyst,us-west-2,456,2026-07-14 16:18:57.732408
10022,SAP,/users,PUT,1277,200,viewer,eu-central-1,315,2026-07-11 17:54:57.732582
10023,Salesforce,/customers,GET,461,200,viewer,us-west-2,295,2026-06-26 03:03:57.732718
10024,SAP,/users,DELETE,1124,201,analyst,us-east-1,2,2026-06-14 17:47:57.732853
10025,SAP,/users,GET,1446,200,developer,us-west-2,53,2026-06-19 12:59:57.732991
10026,Workday,/transactions,DELETE,142,200,admin,eu-central-1,294,2026-06-18 19:25:57.733128
10027,Slack,/reports,POST,771,200,viewer,us-east-1,201,2026-07-13 23:17:57.733260
10028,SAP,/transactions,DELETE,783,200,analyst,eu-central-1,346,2026-06-16 08:17:57.733374
10029,Workday,/customers,GET,948,400,viewer,eu-central-1,338,2026-06-21 10:50:57.735529
10030,Workday,/users,GET,170,200,analyst,us-west-2,298,2026-07-07 20:53:57.735719
10031,Slack,/users,DELETE,900,200,developer,us-east-1,304,2026-06-24 12:58:57.735892
10032,SAP,/transactions,PUT,28,403,admin,eu-central-1,147,2026-06-12 16:47:57.736052
10033,Workday,/reports,DELETE,647,400,analyst,us-east-1,456,2026-07-05 01:33:57.736208
10034,Workday,/reports,PUT,1155,403,developer,us-east-1,99,2026-07-11 17:45:57.736361
10035,Stripe,/payments,POST,841,200,analyst,us-east-1,169,2026-07-14 01:24:57.736539
10036,Salesforce,/reports,GET,835,201,viewer,eu-central-1,195,2026-06-25 16:41:57.736700
